College,Category,Candidate,Year,Round,Status,University,Code,Rank,Percentile
"Sant Gadge Baba Amravati University,Amravati",OPEN-PWD,Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,10151,42.5109359
"Sant Gadge Baba Amravati University,Amravati",OPEN,Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,3674,82.2152687
"Sant Gadge Baba Amravati University,Amravati",SC,Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,7527,60.5862256
"Sant Gadge Baba Amravati University,Amravati",ST,Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,14279,4.150835
"Sant Gadge Baba Amravati University,Amravati",NT-A,Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,13533,13.8063157
"Sant Gadge Baba Amravati University,Amravati",NT-B,Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,4170,79.5012612
"Sant Gadge Baba Amravati University,Amravati",NT-C,Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,7687,60.5862256
"Sant Gadge Baba Amravati University,Amravati",NT-D,Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,4647,76.6180274
"Sant Gadge Baba Amravati University,Amravati",OBC,Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,3994,79.5012612
"Sant Gadge Baba Amravati University,Amravati",ST,Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,12111,28.4906926
"Sant Gadge Baba Amravati University,Amravati",OPEN,Other Than Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,2331,88.9076918
"Sant Gadge Baba Amravati University,Amravati",SC,Other Than Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,2617,86.7396788
"Sant Gadge Baba Amravati University,Amravati",ST,Other Than Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,5683,70.6887193
"Sant Gadge Baba Amravati University,Amravati",NT-A,Other Than Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,4085,79.5012612
"Sant Gadge Baba Amravati University,Amravati",OBC,Other Than Home University,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,2889,84.6355248
"Sant Gadge Baba Amravati University,Amravati",EWS,State Level Seats,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,4967,73.7571442
"Sant Gadge Baba Amravati University,Amravati",TFWS,State Level Seats,2023,CAP Round-1,University Department,Sant Gadge Baba Amravati University,1005,1569,92.3049906
"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",OPEN,Home University,2023,CAP Round-1,Un-Aided,Sant Gadge Baba Amravati University,1102,6509,67.4766116
"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",SC,Home University,2023,CAP Round-1,Un-Aided,Sant Gadge Baba Amravati University,1102,7951,57.0069287
"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",NT-A,Home University,2023,CAP Round-1,Un-Aided,Sant Gadge Baba Amravati University,1102,13760,11.3413583
"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",NT-B,Home University,2023,CAP Round-1,Un-Aided,Sant Gadge Baba Amravati University,1102,8159,57.0069287
"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",NT-C,Home University,2023,CAP Round-1,Un-Aided,Sant Gadge Baba Amravati University,1102,9462,46.1540918
"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",OBC,Home University,2023,CAP Round-1,Un-Aided,Sant Gadge Baba Amravati University,1102,7273,60.5862256
"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",OPEN,Other Than Home University,2023,CAP Round-1,Un-Aided,Sant Gadge Baba Amravati University,1102,7139,60.5862256
"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",SC,Other Than Home University,2023,CAP Round-1,Un-Aided,Sant Gadge Baba Amravati University,1102,9187,49.8355631
